provinsi_id,sektor_id,tahun,nilai
12,14,2021,1817436000000
12,15,2021,1142992000000
12,16,2021,509208000000
12,17,2021,274387000000
12,1,2022,14872197000000
12,2,2022,725399000000
12,3,2022,9986907000000
12,4,2022,82687000000
12,5,2022,56720000000
12,6,2022,7037123000000
12,7,2022,10503772000000
12,8,2022,2448630000000
12,9,2022,1275177000000
12,10,2022,1870724000000
12,11,2022,1662886000000
12,12,2022,2480262000000
12,13,2022,512458000000
12,14,2022,1804114000000
12,15,2022,1201696000000
12,16,2022,533802000000
12,17,2022,298321000000
12,1,2023,15324671000000
12,2,2023,751021000000
12,3,2023,10332591000000
12,4,2023,84476000000
12,5,2023,58359000000
12,6,2023,7487064000000
12,7,2023,11112694000000
12,8,2023,2767381000000
12,9,2023,1405457000000
12,10,2023,2016673000000
12,11,2023,1754331000000
12,12,2023,2559395000000
12,13,2023,546688000000
12,14,2023,1838796000000
12,15,2023,1290331000000
12,16,2023,568082000000
12,17,2023,326584000000
12,1,2024,15894063000000
12,2,2024,781228000000
12,3,2024,10810146000000
12,4,2024,86732000000
12,5,2024,59849000000
12,6,2024,7975279000000
12,7,2024,11606540000000
12,8,2024,2945312000000
12,9,2024,1574120000000
12,10,2024,2166170000000
12,11,2024,1822268000000
12,12,2024,2697720000000
12,13,2024,574752000000
12,14,2024,1950672000000
12,15,2024,1363423000000
12,16,2024,597261000000
12,17,2024,347939000000
12,1,2025,16670295000000
12,2,2025,794515000000
12,3,2025,11186900000000
12,4,2025,89599000000
12,5,2025,63536000000
12,6,2025,7973418000000
12,7,2025,12319778000000
12,8,2025,2261604000000
12,9,2025,1642969000000
12,10,2025,2307436000000
12,11,2025,1878778000000
12,12,2025,2930868000000
12,13,2025,634786000000
12,14,2025,1939042000000
12,15,2025,1420183000000
12,16,2025,647075000000
12,17,2025,359636000000
